Dp,Dn,log_likelihood,posterior_mass,sum_squared_standardized_error
0.72499999999999998,0.94999999999999996,-805.08544371623361,0,1966.2785987937757
0.72499999999999998,0.98750000000000004,-717.05492935283257,0,1790.2175700669736
0.72499999999999998,1.0249999999999999,-634.53383086911492,0,1625.1753730995383
0.72499999999999998,1.0625,-557.30532551735371,1.5433068051301266e-306,1470.7183623960159
0.72499999999999998,1.1000000000000001,-485.19475964088826,3.2038569600544313e-275,1326.497230643085
0.72499999999999998,1.1375,-418.10904957917035,4.3714630578491277e-246,1192.3258105196492
0.72499999999999998,1.1749999999999998,-355.87022583635746,4.6838666725897992e-219,1067.8481630340234
0.72499999999999998,1.2124999999999999,-298.34622290996066,4.4974005865560299e-194,952.80015718122979
0.72499999999999998,1.25,-245.41366051159287,4.378056226339951e-171,846.93503238449421
0.72499999999999998,1.2875000000000001,-196.94940514709413,4.8869737826945881e-150,750.00652165549673
0.72499999999999998,1.325,-152.84365775686274,6.9810817055890504e-131,661.79502687503395
0.72499999999999998,1.3624999999999998,-112.9490335136673,1.4788968618171575e-113,582.00577838864308
0.72499999999999998,1.3999999999999999,-77.103685840960509,5.4622878602395087e-98,510.31508304322949
0.72499999999999998,1.4375,-45.246757858375446,3.7382007197230916e-84,446.60122707805937
0.72499999999999998,1.4750000000000001,-17.181731828133849,5.7696378773642912e-72,390.47117501757617
0.72499999999999998,1.5125,7.143696568508517,2.1161569679652996e-61,341.82031822429144
0.72499999999999998,1.55,27.922269659673532,2.2364928499895087e-52,300.26317204196141
0.72499999999999998,1.5874999999999999,45.211580641831006,7.2147264549162594e-45,265.68455007764646
0.72499999999999998,1.625,59.162486782930074,8.2607869984373165e-39,237.78273779544833
0.72499999999999998,1.6624999999999999,69.835579461503173,3.5668650575260433e-34,216.43655243830213
0.72499999999999998,1.7,77.334968499118119,6.445104391154314e-31,201.43777436307224
0.72499999999999998,1.7375,81.704887887369196,5.0940339220613334e-29,192.69793558657008
0.72499999999999998,1.7749999999999999,83.038759348730082,1.9335475106533498e-28,190.03019266384831
